Sector,Dates,Spacecraft-RA,Spacecraft-Dec,Spacecraft-roll,Camera-1-RA,Camera-1-Dec,Camera-1-roll,Camera-2-RA,Camera-2-Dec,Camera-2-roll,Camera-3-RA,Camera-3-Dec,Camera-3-roll,Camera-4-RA,Camera-4-Dec,Camera-4-roll
52,05/18/22-06/13/22,266.36,61.82,343.14,255.37,26.58,81.19,260.96,50.20,77.65,278.24,72.97,242.12,30.09,78.17,131.93
53,06/13/22-07/09/22,270.81,61.58,3.68,273.21,25.61,91.94,271.99,49.59,92.70,268.11,73.53,276.19,106.92,82.18,77.02
54,07/09/22-08/05/22,290.12,32.61,13.46,297.99,-2.61,101.32,293.09,20.90,102.11,286.25,44.22,285.87,270.01,66.56,299.53
55,08/05/22-09/01/22,307.87,37.65,24.54,322.03,4.06,109.25,313.41,26.60,111.58,300.40,48.35,299.65,270.00,66.57,325.77
56,09/01/22-09/30/22,324.28,46.34,36.25,345.36,14.96,114.99,333.05,36.30,120.43,311.76,55.43,316.01,266.08,65.86,356.48
57,09/30/22-10/29/22,344.23,56.41,44.01,11.28,26.11,115.34,356.47,47.06,124.35,325.10,63.84,330.67,267.38,65.20,23.58
58,10/29/22-11/26/22,9.31,67.65,45.36,40.55,36.24,109.60,25.58,58.12,120.81,337.32,73.79,345.69,269.23,64.86,50.44
59,11/26/22-12/23/22,52.98,77.17,26.51,73.73,42.23,97.69,66.08,65.85,104.01,344.03,84.29,4.86,271.19,64.90,76.49
60,12/23/22-01/18/23,125.67,77.31,337.32,107.90,42.08,83.45,114.40,65.80,78.08,196.61,85.14,176.90,272.86,65.28,101.68
61,01/18/23-02/12/23,118.04,-36.09,162.22,128.39,-1.39,255.71,122.05,-24.59,254.25,112.66,-47.41,68.62,89.06,-68.26,48.23
62,02/12/23-03/10/23,135.24,-42.24,151.59,151.70,-9.27,249.09,141.90,-31.48,245.60,125.90,-52.46,54.68,87.19,-67.91,20.49
63,03/10/23-04/06/23,153.06,-50.70,142.74,175.21,-19.25,246.03,162.62,-40.70,239.61,138.70,-59.51,40.90,85.97,-67.27,353.01
64,04/06/23-05/04/23,173.27,-60.86,137.28,200.61,-29.76,247.64,186.29,-51.26,238.14,150.90,-68.24,27.00,85.66,-66.48,325.85
65,05/04/23-06/02/23,201.62,-71.57,140.74,230.04,-38.58,255.17,217.52,-61.29,245.39,161.56,-78.20,11.91,86.29,-65.70,299.08
66,06/02/23-07/01/23,259.17,-78.80,173.91,264.05,-42.85,268.39,262.38,-66.83,267.00,139.09,-88.54,323.95,87.69,-65.11,272.81
67,07/01/23-07/29/23,326.77,-74.28,217.47,298.62,-40.72,282.56,310.15,-63.75,291.88,16.76,-80.49,176.45,89.51,-64.84,247.19
68,07/29/23-08/25/23,359.28,-64.24,226.10,328.77,-33.46,292.05,344.18,-54.91,303.01,26.18,-70.66,161.04,91.37,-64.93,222.35
69,08/25/23-09/20/23,20.04,-54.23,222.77,354.17,-23.84,295.72,8.57,-44.78,304.00,37.54,-61.99,147.69,92.95,-65.32,198.11
70,09/20/23-10/16/23,24.04,9.26,291.30,350.71,-4.62,22.70,12.83,4.76,22.67,35.53,13.41,199.03,59.67,19.93,192.00
71,10/16/23-11/11/23,77.34,22.22,275.00,40.03,14.98,17.32,64.55,20.68,9.69,90.32,22.75,180.02,116.10,20.69,170.34
72,11/11/23-12/07/23,133.76,16.65,254.03,95.97,22.75,357.22,121.51,19.58,347.85,145.60,13.03,160.99,168.29,4.41,157.49
73,12/07/23-01/03/24,80.67,78.83,8.03,87.11,42.92,92.12,84.92,66.89,93.95,327.32,88.19,31.22,271.88,65.01,86.33
74,01/03/24-01/30/24,261.22,72.30,213.92,137.52,66.78,64.51,220.12,79.83,343.99,275.32,61.57,110.87,286.00,38.50,102.52
75,01/30/24-02/26/24,254.93,69.94,247.49,171.87,56.84,54.60,218.55,71.10,11.91,280.01,63.06,134.38,302.93,43.06,115.70
76,02/26/24-03/26/24,253.53,66.84,276.64,196.64,45.81,55.91,226.62,62.86,31.10,283.20,65.34,159.42,319.88,50.40,127.80
77,03/26/24-04/23/24,255.86,63.86,302.34,218.00,35.99,62.60,237.55,56.00,48.26,283.80,67.98,186.73,337.36,59.86,137.85
78,04/23/24-05/21/24,260.42,61.57,325.71,238.24,28.71,72.20,249.67,51.12,64.71,280.85,70.39,216.96,357.65,70.50,143.46
79,05/21/24-06/18/24,266.06,60.30,347.51,258.01,24.74,83.22,262.17,48.51,80.69,274.36,71.85,249.88,33.61,80.77,131.93
80,06/18/24-07/15/24,275.70,32.23,5.49,278.93,-3.64,94.65,276.91,20.28,94.95,274.11,44.17,276.48,267.10,67.88,282.42
81,07/15/24-08/10/24,292.57,34.69,17.13,302.54,-0.09,104.02,296.39,23.16,105.27,287.51,46.06,290.43,265.96,67.26,308.80
82,08/10/24-09/05/24,309.13,39.78,27.80,325.16,6.78,111.16,315.49,28.98,114.19,300.44,50.10,303.97,265.65,66.52,334.11
83,09/05/24-10/01/24,325.89,47.12,37.05,347.50,15.88,115.23,334.93,37.15,120.95,312.93,56.07,317.26,266.16,65.80,358.80
84,10/01/24-10/26/24,343.87,56.23,43.92,10.83,25.92,115.38,356.05,46.88,124.33,324.89,63.69,330.42,267.35,65.21,23.13
85,10/26/24-11/21/24,5.88,66.35,45.80,36.93,35.22,110.61,21.73,56.92,121.79,336.01,72.58,343.89,269.00,64.88,47.35
86,11/21/24-12/18/24,42.67,75.89,32.58,67.71,41.60,100.11,58.01,64.95,108.06,344.13,82.46,0.33,270.86,64.87,72.00
87,12/18/24-01/14/25,97.96,-32.39,175.92,100.37,3.53,266.55,98.87,-20.42,266.32,96.78,-44.36,85.18,91.49,-68.20,80.68
88,01/14/25-02/11/25,116.83,-35.75,163.02,126.72,-0.95,256.29,120.65,-24.22,254.94,111.71,-47.13,69.61,89.21,-68.27,50.20
89,02/11/25-03/12/25,135.84,-42.50,151.25,152.50,-9.59,248.92,142.60,-31.76,245.35,126.35,-52.67,54.20,87.14,-67.89,19.54
90,03/12/25-04/09/25,155.07,-51.72,141.95,177.81,-20.39,245.96,164.97,-41.80,239.19,140.04,-60.38,39.42,85.89,-67.19,350.07
91,04/09/25-05/07/25,227.04,-16.87,254.27,192.45,-4.72,337.56,215.17,-13.30,341.17,239.32,-19.75,168.14,264.90,-22.79,177.56
92,05/07/25-06/03/25,311.96,-17.14,285.42,274.03,-22.82,2.01,299.65,-19.95,11.49,323.86,-13.62,198.59,346.64,-5.11,202.36
93,06/03/25-06/29/25,260.52,-78.83,174.85,264.64,-42.87,268.64,263.24,-66.85,267.47,134.32,-88.68,318.76,87.71,-65.11,272.37
94,06/29/25-07/25/25,323.47,-74.90,215.85,296.31,-41.07,281.68,307.21,-64.22,290.54,16.35,-81.22,177.80,89.37,-64.85,248.96
95,07/25/25-08/20/25,355.70,-65.73,225.94,324.78,-34.71,291.06,340.07,-56.33,302.20,24.63,-72.01,163.04,91.11,-64.89,225.87
96,08/20/25-09/15/25,16.71,-55.94,223.76,349.91,-25.62,295.45,4.64,-46.57,304.30,35.47,-63.43,150.02,92.70,-65.23,202.40
